station_id,station_name,year,month,month_total
40430,Clinton-Forest Park,2024,7,52627
40350,UIC-Halsted,2024,7,55664
40470,Racine,2024,7,14983
40810,Medical Center,2024,7,33595
40220,Western-Forest Park,2024,7,17192
40250,Kedzie-Homan-Forest Park,2024,7,25840
40920,Pulaski-Forest Park,2024,7,19264
40970,Cicero-Forest Park,2024,7,16316
40010,Austin-Forest Park,2024,7,17336
40180,Oak Park-Forest Park,2024,7,14926
40980,Harlem-Forest Park,2024,7,10900
40390,Forest Park,2024,7,34317
41030,Polk,2024,7,55028
40830,18th,2024,7,38777
40210,Damen-Cermak,2024,7,31199
40740,Western-Cermak,2024,7,23558
40440,California-Cermak,2024,7,28619
41040,Kedzie-Cermak,2024,7,22440
40780,Central Park,2024,7,21871
40150,Pulaski-Cermak,2024,7,20578
40600,Kostner,2024,7,8192
40420,Cicero-Cermak,2024,7,26577
40580,54th/Cermak,2024,7,45117
40020,Harlem-Lake,2024,7,58756
41350,Oak Park-Lake,2024,7,22028
40610,Ridgeland,2024,7,18482
41260,Austin-Lake,2024,7,25988
40280,Central-Lake,2024,7,34234
40700,Laramie,2024,7,16503
40480,Cicero-Lake,2024,7,20960
40030,Pulaski-Lake,2024,7,21334
41670,Conservatory,2024,7,17213
41070,Kedzie-Lake,2024,7,16631
41360,California-Lake,2024,7,19986
41710,Damen-Lake,2024,7,0
40170,Ashland-Lake,2024,7,58778
41510,Morgan-Lake,2024,7,101774
41160,Clinton-Lake,2024,7,70766
41690,Cermak-McCormick Place,2024,7,36080
41120,35-Bronzeville-IIT,2024,7,22673
40300,Indiana,2024,7,10800
41270,43rd,2024,7,14476
41080,47th-South Elevated,2024,7,16624
40130,51st,2024,7,15360
40510,Garfield-South Elevated,2024,7,19985
41140,King Drive,2024,7,6462
40720,East 63rd-Cottage Grove,2024,7,15400
40940,Halsted/63rd,2024,7,7778
40290,Ashland/63rd,2024,7,16387
41290,Kimball,2024,7,72786
41180,Kedzie-Brown,2024,7,36082
40870,Francisco,2024,7,25520
41010,Rockwell,2024,7,25905
41480,Western-Brown,2024,7,62480
40090,Damen-Brown,2024,7,41092
41500,Montrose-Brown,2024,7,39410
41460,Irving Park-Brown,2024,7,42919
41440,Addison-Brown,2024,7,29690
41310,Paulina,2024,7,46052
40360,Southport,2024,7,60678
41210,Wellington,2024,7,47991
40530,Diversey,2024,7,81520
40660,Armitage,2024,7,68365
40800,Sedgwick,2024,7,75348
40710,Chicago/Franklin,2024,7,115920
40460,Merchandise Mart,2024,7,107400
40930,Midway Airport,2024,7,146145
40960,Pulaski-Orange,2024,7,77843
41150,Kedzie-Midway,2024,7,58184
40310,Western-Orange,2024,7,61845
40120,35th/Archer,2024,7,46258
41060,Ashland-Orange,2024,7,30798
41130,Halsted-Orange,2024,7,41368
40730,Washington/Wells,2024,7,114880
40040,Quincy/Wells,2024,7,126178
40160,LaSalle/Van Buren,2024,7,42894
40850,Library,2024,7,63260
40680,Adams/Wabash,2024,7,102810
41700,Washington/Wabash,2024,7,211399
40260,State/Lake,2024,7,238921
40380,Clark/Lake,2024,7,246087
40900,Howard,2024,8,93512
41190,Jarvis,2024,8,30713
40100,Morse,2024,8,74829
41300,Loyola,2024,8,97391
40760,Granville,2024,8,62584
40880,Thorndale,2024,8,53252
41380,Bryn Mawr,2024,8,48492
40340,Berwyn,2024,8,0
41200,Argyle,2024,8,83086
40770,Lawrence,2024,8,0
40540,Wilson,2024,8,155449
40080,Sheridan,2024,8,76567
41420,Addison-North Main,2024,8,239630
41320,Belmont-North Main,2024,8,210947
41220,Fullerton,2024,8,181117
40650,North/Clybourn,2024,8,94732
40630,Clark/Division,2024,8,154591
41450,Chicago/State,2024,8,243766
40330,Grand/State,2024,8,241153
41660,Lake/State,2024,8,326355
41090,Monroe/State,2024,8,117107
40560,Jackson/State,2024,8,108514
