station_id,station_name,lat,lon,ridership_2024_total,line_name,community_area,community
40480,Cicero-Lake,41.87001737300212,-87.7450708626563,236560,"Blue Line (Congress), Green Line (Lake), Pink",25,AUSTIN
41360,California-Lake,41.86924958097676,-87.69552856582723,228888,"Green Line (Lake), Pink",27,EAST GARFIELD PARK
40920,Pulaski-Forest Park,41.85326133894191,-87.72495126654842,224022,"Blue Line (Congress), Green Line (Lake), Orange Line, Pink",29,NORTH LAWNDALE
41070,Kedzie-Lake,41.87722317466901,-87.70618695886071,220209,"Brown Line, Green Line (Lake), Orange Line, Pink",27,EAST GARFIELD PARK
40510,Garfield-South Elevated,41.79517665377113,-87.61832410779981,219864,Green Line,40,WASHINGTON PARK
40470,Racine,41.87588563477906,-87.65945550927005,217531,Blue Line,28,NEAR WEST SIDE
40700,Laramie,41.88716322654388,-87.75498649428108,202472,Green Line (Lake),25,AUSTIN
40220,Western-Forest Park,41.87521500493779,-87.6865453311916,200073,"Blue Line (Congress), Brown Line, Orange Line, Pink",28,NEAR WEST SIDE
41670,Conservatory,41.88490437974895,-87.71652283291752,191286,Green Line (Lake),27,EAST GARFIELD PARK
40290,Ashland/63rd,41.778953405637694,-87.6638448484402,191046,Green Line (Englewood),67,WEST ENGLEWOOD
40970,Cicero-Forest Park,41.87001737300212,-87.7450708626563,189468,"Blue Line (Congress), Green Line (Lake), Pink",25,AUSTIN
40720,East 63rd-Cottage Grove,41.78030876776892,-87.6058574174785,189282,Green Line,42,WOODLAWN
41080,47th-South Elevated,41.80920883501687,-87.61882612858349,183787,Green Line,38,GRAND BOULEVARD
40130,51st,41.80209158434365,-87.61850159987594,173884,Green Line,38,GRAND BOULEVARD
41270,43rd,41.81646322287744,-87.61903578127783,167741,Green Line,38,GRAND BOULEVARD
40300,Indiana,41.8218151964997,-87.62146281101369,125221,Green Line,38,GRAND BOULEVARD
41710,Damen-Lake,41.91046291739687,-87.67730449019199,111200,"Brown Line, Pink",24,WEST TOWN
40940,Halsted/63rd,41.7790278681209,-87.644023127218,100313,Green Line,68,ENGLEWOOD
40600,Kostner,41.85375068701122,-87.73326365861335,95598,Pink,29,NORTH LAWNDALE
41140,King Drive,41.780129716720246,-87.61554588356856,85631,Green Line,42,WOODLAWN
40340,Berwyn,41.97798399254404,-87.65866841969589,0,Red Line,77,EDGEWATER
40770,Lawrence,41.96913894081545,-87.65849296173627,0,Red Line,3,UPTOWN
