community_area,community_area_name,pop_total,median_hh_income,pct_no_vehicle_hh,pct_disabled,pct_65_plus,centroid_lat,centroid_lon,pct_65_plus_need_0_100,pct_disabled_need_0_100,pct_no_vehicle_hh_need_0_100,median_hh_income_need_0_100,transportation_need_index_0_100,need_quintile,total_trips
28,Near West Side,68093.80054462526,110543.98898256298,0.3368256185343097,0.11460991611894288,0.0737967961541044,41.87400538488452,-87.66351788670046,2.6,7.79,76.62,15.58,25.65,Very Low,13950312
29,North Lawndale,40501.17854520972,47316.713861175616,0.2935848074010681,0.2645051584209264,0.11512974772168742,41.86018959234662,-87.71721947381866,22.08,88.31,68.83,79.22,64.61,High,1349233
30,South Lawndale,77481.59707718962,58944.612062388034,0.21107983752556383,0.22956945966068087,0.12003554410189567,41.83908700852653,-87.71400209568442,25.97,61.04,48.05,63.64,49.68,Moderate,966282
31,Lower West Side,33416.42894073663,77233.36057301011,0.24007794214479194,0.16725136281300612,0.12114327445461572,41.85026617106391,-87.66756822559354,27.27,19.48,61.04,36.36,36.04,Very Low,1805178
32,Loop,46251.594065004654,117480.27557825917,0.5049038463369532,0.05910226423446013,0.09554815499763064,41.878865946364506,-87.62519186960121,7.79,1.3,98.7,10.39,29.54,Very Low,13347771
33,Near South Side,30395.10696200401,123622.10036744732,0.22616136127789438,0.1161258539051107,0.09660308196290839,41.85718426592725,-87.62033482705607,9.09,9.09,58.44,7.79,21.1,Very Low,3602107
34,Armour Square,13821.847936641823,46476.437164475916,0.35018203479220383,0.16630194324160846,0.22569921862362957,41.84207748674286,-87.63397369753214,93.51,18.18,79.22,83.12,68.51,Very High,879499
35,Douglas,21078.937505563033,49456.32258209407,0.46060305845018146,0.15461245411064445,0.17815781184488272,41.835118342623176,-87.61867772050564,70.13,15.58,96.1,75.32,64.28,High,1102106
36,Oakland,6938.46275269313,32127.420369549356,0.38979864146031,0.2854942434457601,0.14445737127920658,41.823750345730396,-87.60321641296161,41.56,98.7,88.31,96.1,81.17,Very High,256074
37,Fuller Park,2338.3328811550628,22179.172791875622,0.5275215626882643,0.2195954018425149,0.22880692467569508,41.8090854843581,-87.63242456957649,94.81,46.75,100.0,98.7,85.06,Very High,174408
38,Grand Boulevard,25183.936054451384,57684.173117168706,0.2931068932790598,0.213107559124824,0.16068490657624568,41.81294935894828,-87.6178596907689,61.04,41.56,67.53,66.23,59.09,High,1081273
39,Kenwood,18415.187525340134,62588.68959205873,0.35832687424334114,0.1982502474078619,0.18802725147720872,41.808916370166855,-87.59618357877342,81.82,33.77,80.52,58.44,63.64,High,835378
40,Washington Park,12312.077757034265,33428.62914134469,0.36104204224694786,0.28012311812198976,0.0798830495638576,41.79235756859052,-87.61793123308573,5.19,97.4,83.12,94.81,70.13,Very High,596090
41,Hyde Park,30588.377599168594,70169.05197065987,0.4315735928445181,0.12046717765000857,0.14681925896314812,41.794090306939644,-87.59231092230799,44.16,10.39,94.81,48.05,49.35,Moderate,3573977
42,Woodlawn,25815.033238547046,40554.14936482373,0.3606096704508587,0.223903247695038,0.13951175417552608,41.77887641064269,-87.59492536136263,38.96,51.95,81.82,88.31,65.26,Very High,1480614
43,South Shore,51493.36058450024,45926.492960909236,0.3800618337006097,0.20815663306406276,0.17669213255160604,41.76157779644904,-87.57278271472944,68.83,37.66,85.71,84.42,69.16,Very High,1684223
44,Chatham,30020.27950337417,46989.18200903266,0.2962732457112884,0.1884548224980803,0.19339705625617318,41.74020600057612,-87.61596996011724,85.71,29.87,70.13,81.82,66.88,Very High,1249423
45,Avalon Park,8939.123388708033,60061.12285826595,0.21738995935967995,0.19449971700690377,0.23692671789471867,41.74419967938302,-87.5863488344573,97.4,32.47,49.35,62.34,60.39,High,274872
46,South Chicago,27500.822252924187,44986.87607690227,0.3240349877979539,0.2438044036529363,0.18917731176998484,41.741242815344854,-87.55142918511253,83.12,75.32,72.73,85.71,79.22,Very High,600765
47,Burnside,2293.0593973428195,47051.3978189464,0.3407755419069012,0.23400320563120347,0.32826949752982215,41.72818223370131,-87.59647566792844,100.0,66.23,77.92,80.52,81.17,Very High,102615
48,Calumet Heights,11226.823598703677,65160.23877173393,0.17513056481933048,0.17815054110114234,0.3205930247363225,41.729676127015345,-87.57271771089653,98.7,24.68,36.36,53.25,53.25,Moderate,309823
