station_id,station_name,line_name,lat,lon
360,Southport,Brown Line,41.94381225617526,-87.66360955994172
370,Washington/Dearborn,Blue Line,41.88316442656523,-87.6294400596467
380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",41.88573698625938,-87.63088601833961
390,Forest Park,Blue Line,41.87425731129019,-87.81731777906768
400,Noyes,"Purple Line, Evanston Express",42.05828247066971,-87.68333688171246
410,Roosevelt/Wabash,Orange & Green Lines,41.86740495963631,-87.62658988700281
420,Cicero-Douglas,Pink Line,41.851924714963396,-87.74534200985961
430,Clinton-Congress,Blue Line,41.875538904999026,-87.64098421671696
440,California-Douglas,Pink Line,41.854279630327355,-87.69482291545437
450,95th/Dan Ryan,Red Line,41.722375984242476,-87.62441474538349
460,Merchandise Mart,"Brown, Purple (Express)",41.888967933815984,-87.63397336028807
470,Racine,Blue Line,41.87588563477907,-87.65945550927005
480,Cicero-Lake,Green Line (Lake),41.88651935351997,-87.74469840019538
490,Grand/Milwaukee,Blue Line (O'Hare),41.89118929406765,-87.64757831015247
510,Garfield-South Elevated,Green Line,41.795176653771136,-87.61832410779981
520,Foster,"Purple Line, Evanston Express",42.05416022489172,-87.68356032638904
530,Diversey,"Brown, Purple (Express)",41.93273150100663,-87.65313085718888
540,Wilson,"Purple, Red Line",41.96425415994733,-87.65773404557505
550,Irving Park-O'Hare,Blue Line,41.952940261723505,-87.72917726558204
560,Jackson/State,Red Line,41.87815275695708,-87.62759609756428
570,California/Milwaukee,Blue Line (O'Hare),41.92193917150245,-87.6968897987879
580,54th/Cermak,Pink Line,41.851773309963825,-87.756692014772
590,Damen/Milwaukee,Blue Line,41.90974379246453,-87.67743665449984
600,Kostner,Pink Line,41.85375068701122,-87.73326365861335
610,Ridgeland,Green Line (Lake),41.88715939826551,-87.78366103293801
630,Clark/Division,Red Line,41.90392031283341,-87.63141229300709
650,North/Clybourn,Red Line,41.91065458056037,-87.64917726687139
660,Armitage,"Brown, Purple (Express)",41.9182165680886,-87.65264430600404
670,Western/Milwaukee,Blue Line (O'Hare),41.916157429131374,-87.6873643813982
680,Adams/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",41.879510219372655,-87.62609789982032
690,Dempster,"Purple Line, Evanston Express",42.04165464471751,-87.68160198666094
700,Laramie,Green Line (Lake),41.88716322654387,-87.75498649428108
710,Chicago/Franklin,"Brown, Purple (Express)",41.89677417178116,-87.63594665706665
720,Cottage Grove,Green Line,41.780308767768915,-87.6058574174785
730,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",41.882695018498964,-87.63385352993139
740,Western-Douglas,Pink Line,41.854396837500744,-87.68517922105977
750,Harlem-O'Hare,Blue Line (O'Hare),41.982323370406654,-87.80889493503287
760,Granville,Red Line,41.99366426103332,-87.65920227948938
770,Lawrence,Red Line,41.96913894081545,-87.65849296173627
780,Central Park,Pink Line,41.85399195494557,-87.71488026411758
790,Monroe/Dearborn,Blue Line,41.88070346119076,-87.62937770045221
800,Sedgwick,"Brown, Purple (Express)",41.910409180297236,-87.63930216454519
810,Illinois Medical District,Blue Line,41.87563542876877,-87.67394587971816
820,Rosemont,Blue Line,41.98350728784708,-87.8593877016713
830,18th,Pink Line,41.85790770843142,-87.6691601248801
840,South Boulevard,"Purple Line, Evanston Express",42.02761184862187,-87.67832941601363
850,Library,"Brown, Orange, Pink, Purple (Express)",41.876908340423775,-87.62820914456076
870,Francisco,Brown Line,41.966146895889715,-87.70165573251133
880,Thorndale,Red Line,41.990259494019185,-87.6590758588342
890,O'Hare Airport,Blue Line,41.97887673887917,-87.90184840013661
900,Howard,"Red, Yellow, Purple, Evanston Express",42.01906322017403,-87.6728924507902
