station_id,station_name,STATION_ID,LONGNAME,LINES,score
41660,Lake/State,1090,Monroe/State,Red Line,0.7611111111111111
41660,Lake/State,1450,Chicago/State,Red Line,0.7461538461538462
41660,Lake/State,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.7333333333333334
41660,Lake/State,1020,Logan Square,Blue Line,0.7300000000000001
41660,Lake/State,30,Pulaski-Lake,Green Line (Lake),0.7134920634920635
41670,Conservatory,1670,Conservatory-Central Park,Green Line (Lake),0.896
41670,Conservatory,820,Rosemont,Blue Line,0.7242063492063493
41680,Oakton-Skokie,1680,Oakton-Skokie,Yellow Line,1.0
41690,Cermak-McCormick Place,1690,Cermak-McCormick Place,Green Line,1.0
41690,Cermak-McCormick Place,1350,Oak Park-Lake,Green Line (Lake),0.7079254079254079
41700,Washington/Wabash,1700,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",1.0
41700,Washington/Wabash,730,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",0.9154411764705882
41700,Washington/Wabash,370,Washington/Dearborn,Blue Line,0.8897832817337461
41700,Washington/Wabash,1210,Wellington,"Brown, Purple (Express)",0.733529411764706
41700,Washington/Wabash,410,Roosevelt/Wabash,Orange & Green Lines,0.7044117647058824
41710,Damen-Lake,590,Damen/Milwaukee,Blue Line,0.9333333333333333
41710,Damen-Lake,210,Damen,Pink,0.9
41710,Damen-Lake,90,Damen-Ravenswood,Brown Line,0.86
41710,Damen-Lake,20,Harlem-Lake,Green Line (Lake),0.8007575757575758
41710,Damen-Lake,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",0.7999999999999999
41710,Damen-Lake,1260,Austin-Lake,Green Line (Lake),0.7787878787878788
41710,Damen-Lake,490,Grand/Milwaukee,Blue Line (O'Hare),0.7592592592592592
41710,Damen-Lake,280,Central-Lake,Green Line (Lake),0.7388888888888889
41710,Damen-Lake,320,Division/Milwaukee,Blue Line,0.7358333333333333
41710,Damen-Lake,480,Cicero-Lake,Green Line (Lake),0.7151515151515152
