year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031816401,Census Tract 8164.01; Cook County; Illinois,17,31,816401,3838,92537,1134,115,3838,866,439,0.114382490880667,0.101410934744268,0.2256383533090151,43.25,Low
2024,17031816402,Census Tract 8164.02; Cook County; Illinois,17,31,816402,5174,59792,1427,110,5147,1347,309,0.059721685349826,0.0770847932725998,0.261705848066835,50.1,Moderate
2024,17031816500,Census Tract 8165; Cook County; Illinois,17,31,816500,4052,63328,1460,113,4052,868,513,0.126604146100691,0.0773972602739726,0.2142152023692003,48.95,Moderate
2024,17031816600,Census Tract 8166; Cook County; Illinois,17,31,816600,4222,66120,1117,53,4222,1310,152,0.0360018948365703,0.0474485228290062,0.310279488394126,47.6,Moderate
2024,17031816700,Census Tract 8167; Cook County; Illinois,17,31,816700,2697,68177,974,85,2697,528,390,0.1446051167964405,0.0872689938398357,0.1957730812013348,48.03,Moderate
2024,17031816800,Census Tract 8168; Cook County; Illinois,17,31,816800,5534,85521,1818,137,5439,1408,1168,0.2110589085652331,0.0753575357535753,0.2588711160139731,60.91,High
2024,17031816900,Census Tract 8169; Cook County; Illinois,17,31,816900,5630,103816,1664,38,5630,1331,677,0.1202486678507993,0.0228365384615384,0.2364120781527531,34.72,Very Low
2024,17031817000,Census Tract 8170; Cook County; Illinois,17,31,817000,4975,78549,1618,88,4890,1306,821,0.1650251256281407,0.0543881334981458,0.2670756646216768,55.57,High
2024,17031817101,Census Tract 8171.01; Cook County; Illinois,17,31,817101,4884,71134,1647,173,4884,1032,755,0.1545864045864045,0.1050394656952034,0.2113022113022113,52.72,High
2024,17031817102,Census Tract 8171.02; Cook County; Illinois,17,31,817102,2767,71621,1019,115,2767,446,661,0.2388868810986628,0.112855740922473,0.1611853993494759,55.99,High
2024,17031817200,Census Tract 8172; Cook County; Illinois,17,31,817200,4387,63067,1483,97,4387,1253,543,0.1237747891497606,0.0654079568442346,0.2856165944837018,56.95,High
2024,17031817300,Census Tract 8173; Cook County; Illinois,17,31,817300,2687,66875,779,100,2687,823,211,0.0785262374395236,0.128369704749679,0.3062895422404168,57.02,High
2024,17031817400,Census Tract 8174; Cook County; Illinois,17,31,817400,3143,99018,968,56,3143,872,558,0.1775373846643334,0.0578512396694214,0.2774419344575246,53.97,High
2024,17031817500,Census Tract 8175; Cook County; Illinois,17,31,817500,3872,49985,1277,272,3847,975,563,0.1454028925619834,0.2129992169146436,0.2534442422667013,68.72,Very High
2024,17031817600,Census Tract 8176; Cook County; Illinois,17,31,817600,4076,52317,1270,201,4076,945,338,0.0829244357212953,0.158267716535433,0.2318449460255152,54.73,High
2024,17031817700,Census Tract 8177; Cook County; Illinois,17,31,817700,5036,87970,1636,35,5036,1142,644,0.1278792692613185,0.0213936430317848,0.2267672756155679,37.14,Very Low
2024,17031817900,Census Tract 8179; Cook County; Illinois,17,31,817900,5807,61250,2370,252,5781,1260,1377,0.2371276046151197,0.1063291139240506,0.2179553710430721,65.93,Very High
2024,17031818000,Census Tract 8180; Cook County; Illinois,17,31,818000,4180,65641,1749,193,4180,1101,950,0.2272727272727272,0.1103487707261292,0.2633971291866028,71.12,Very High
2024,17031818100,Census Tract 8181; Cook County; Illinois,17,31,818100,2167,112292,897,24,2167,428,458,0.2113520996769727,0.0267558528428093,0.1975080756806645,39.5,Low
2024,17031818200,Census Tract 8182; Cook County; Illinois,17,31,818200,4621,110625,1865,121,4621,904,723,0.156459640770396,0.0648793565683646,0.1956286518069682,37.6,Very Low
2024,17031818300,Census Tract 8183; Cook County; Illinois,17,31,818300,6096,73929,2200,269,5936,1174,901,0.1478018372703412,0.1222727272727272,0.1977762803234501,49.77,Moderate
2024,17031818401,Census Tract 8184.01; Cook County; Illinois,17,31,818401,3430,86827,1305,125,3361,522,683,0.1991253644314868,0.0957854406130268,0.1553109193692353,46.69,Moderate
