GEOID,community_area,weight
17031431400,43,0.9986781895567434
17031431400,46,0.0013218104432566715
17031810200,1,0.6749879268902457
17031810200,2,0.3250120731097543
17031810301,2,1.0
17031050100,4,1.1694605827103162e-05
17031050100,5,0.9998905251701107
17031050100,6,9.778022406227395e-05
17031610800,37,0.03706267752463264
17031610800,61,0.9629373224753673
17031611300,61,1.0
17031611400,61,1.0
17031611500,58,7.83656997020248e-06
17031611500,61,0.9697574201725351
17031611500,63,0.030234743257494676
17031611900,61,0.9999096785956879
17031611900,67,9.03214043121552e-05
17031681200,68,0.9999574429085148
17031681200,69,4.2557091485146227e-05
17031810400,9,2.6355454487257728e-09
17031810400,10,0.9982173554331392
17031810400,76,0.0017826419313153197
17031810701,17,0.22250244356707843
17031810701,18,0.7774975564329216
17031810702,18,0.9763606851988971
17031810702,25,0.023639314801102918
17031810600,10,0.0015552481359822309
17031810600,11,0.0076556828887072974
17031810600,15,0.8708822226946628
17031810600,17,0.11990684628064788
17031691200,44,0.00015684940570534614
17031691200,68,0.0006277207358438523
17031691200,69,0.9992062499659667
17031691200,71,9.179892483955281e-06
17031691100,68,1.0031994971782103e-05
17031691100,69,0.9999899680050283
17031730100,49,0.010379412734281687
17031730100,71,0.00032878008807815006
17031730100,73,0.9892918071776402
17031730300,71,2.312394254045191e-05
17031730300,72,0.014880400315549318
17031730300,73,0.9850964757419103
17031730400,72,0.013865913164755541
17031730400,73,0.9861340868352445
17031730500,49,0.008342052601989213
17031730500,73,0.9916579473980108
17031730600,72,2.3333118057204627e-07
17031730600,73,0.9999997666688194
17031381200,38,1.0
17031381400,38,1.0
17031381700,37,0.0010569477469463831
17031381700,38,0.998898978448142
17031381700,40,4.4073804911543806e-05
17031440300,44,0.9999963089550874
17031440300,69,3.6910449126426343e-06
17031810800,17,1.0
17031810900,25,1.0
17031612000,61,0.9998979726651309
17031612000,68,0.00010202733486900564
17031612100,61,0.9999828603905759
17031612100,68,1.7139609424012177e-05
17031620100,57,0.0050099428312897635
17031620100,58,0.0018446121576769208
17031620100,62,0.9887479974081416
17031620100,63,0.004397447602891703
17031620200,56,0.0019488678004772645
17031620200,57,0.004950245057042685
17031620200,62,0.99310088714248
17031620300,56,0.006329664564545104
17031620300,62,0.9936104991091648
17031620300,64,1.6978209588560028e-08
17031620300,65,5.981934808057795e-05
17031620400,62,0.9883786722551501
17031620400,63,0.011567501427790118
17031620400,65,5.382631705980904e-05
17031810501,17,0.2951765264181413
17031810501,76,0.7048234735818587
17031810502,17,1.0
17031812200,25,1.0
17031730700,49,2.616772902037688e-05
17031730700,72,2.9593956143095152e-05
17031730700,73,0.9998839304026416
17031730700,75,6.030791219490015e-05
17031740100,72,0.0004677859459545314
17031740100,74,0.9981957766977998
17031740100,75,0.001336437356245624
17031740200,74,1.0
17031740300,74,1.0
17031740400,74,1.0
17031381800,38,0.9999070971411997
17031381800,40,9.290285880022358e-05
17031381900,38,0.9998993604202205
17031381900,40,0.00010063957977942802
17031390100,36,0.0016895912545638117
17031390100,39,0.9983104087454362
17031390200,36,2.0109954861792554e-05
17031390200,39,0.9999798900451382
17031390300,36,1.3213385520109477e-05
17031390300,38,3.7746615355293136e-05
17031390300,39,0.9999490399991245
17031390400,38,8.467248110478665e-06
17031390400,39,0.9998799404353037
17031390400,41,0.0001115923165859151
17031390500,39,0.999948754949064
17031390500,41,5.1245050935978425e-05
17031390600,39,0.9999568684167306
17031390600,41,4.31315832694677e-05
17031390700,39,0.9991772659731716
17031390700,41,0.0008227340268284699
17031812500,25,1.0
17031440600,44,0.9988582373407424
17031440600,49,0.0011417626592575621
17031440900,44,0.9999398800306676
17031440900,47,8.247009091261754e-06
17031440900,49,5.187296024126482e-05
17031440700,44,1.0
17031440800,44,0.9990595860797343
17031440800,47,0.0009404139202656778
17031630300,58,0.014206805231174745
17031630300,62,0.0002160530785525427
17031630300,63,0.9855771416902727
17031630500,63,1.0
17031630800,63,0.9999040695880458
17031630800,66,9.59304119541639e-05
17031630900,62,0.001041896441893942
17031630900,63,0.9988755186643158
17031630900,65,1.9909347852605166e-06
17031630900,66,8.059395900505815e-05
17031640100,56,5.2631047838736846e-06
17031640100,64,0.9999947368952161
17031640300,56,0.0017179727384452799
17031640300,64,0.9982820272615548
17031750100,49,2.5441383294150514e-05
17031750100,72,3.873731406210477e-06
17031750100,73,1.4902319902852457e-05
17031750100,75,0.9999557825653967
17031750200,72,8.2100421699907e-05
17031750200,75,0.9999178995783
17031750300,72,2.547710811659427e-05
17031750300,75,0.9999745228918834
17031750400,75,1.0
17031750500,53,1.0197297754664238e-05
17031750500,75,0.9999898027022454
17031282700,27,0.00486909780639543
17031282700,28,0.9951308950943695
17031282700,29,7.099235120197595e-09
17031282800,28,1.0
17031400300,40,0.9998308348376972
17031400300,41,0.00012139889269583036
17031400300,42,4.776626960697266e-05
17031400500,40,1.0
17031400800,40,0.999860465142393
17031400800,42,5.0127600670369716e-05
17031400800,69,8.940725693670879e-05
17031410100,39,0.0019812816920171776
17031410100,41,0.9980187183079828
17031410500,40,6.623018856752155e-05
17031410500,41,0.9999337698114324
17031410600,41,1.0
17031460100,43,0.0016514856784146407
17031460100,46,0.9939440929685269
17031460100,52,0.004404421353058527
17031450300,43,6.419568821688005e-06
17031450300,45,0.9997585178005814
17031450300,46,0.0001687565724839117
17031450300,48,6.630605811301197e-05
17031460200,46,1.0
17031640400,56,3.3521861067326433e-06
17031640400,64,0.9999966478138933
17031640500,64,1.0
17031640600,64,1.0
17031640700,64,1.0
17031640800,64,0.9997706359958394
17031640800,65,0.0002293640041605338
17031650100,62,7.68448185173686e-06
17031650100,63,2.7431964445178145e-07
17031650100,65,0.9999367087822097
17031650100,66,5.533241629409141e-05
17031650200,56,2.5575568046588936e-07
17031650200,62,4.26629865361839e-06
17031650200,64,0.005117142536557757
17031650200,65,0.9948783354091082
17031750600,49,3.662510975279231e-05
17031750600,53,7.791623189219237e-05
17031750600,75,0.999885458658355
17031812600,25,1.0
17031820300,56,0.9931604929974892
17031820300,64,0.006839507002510854
17031820400,64,1.0
17031820902,65,0.30040176891452086
17031820902,70,0.6995982310854791
17031283100,28,1.0
17031283800,28,0.999966738928941
17031283800,31,3.326107105912111e-05
17031410700,41,1.0
17031410800,41,1.0
17031410900,41,1.0
17031411000,41,0.9963595525505219
17031411000,42,0.003640447449478093
17031411100,41,0.9999222272527164
17031411100,42,7.777274728360603e-05
17031411200,41,0.9999767565463521
17031411200,42,2.3243453647894858e-05
17031460400,43,1.118750446726713e-05
17031460400,46,0.9999888124955327
17031460500,43,3.981146164533976e-06
17031460500,45,3.287289981428656e-05
17031460500,46,0.9999631459540211
17031461000,46,0.9802231476064527
17031461000,48,5.6191815391199525e-05
17031461000,51,3.0397124623367683e-05
17031461000,52,0.01969026345353278
17031813000,25,1.0
17031813100,25,1.0
17031821102,70,1.0
17031420100,41,0.004044456373128863
17031420100,42,0.9959555436268711
17031420200,41,4.874536099262237e-05
17031420200,42,0.9999512546390074
17031420400,41,2.651535788278481e-07
17031420400,42,0.9999997348464211
17031420700,42,0.9999698953746723
17031420700,69,3.010462532772455e-05
17031805402,9,1.0
17031420800,42,0.9999554025614088
17031420800,69,4.4597438591269646e-05
17031470100,44,0.004827017708531038
17031470100,45,2.2797994734237446e-08
17031470100,47,0.9925570701428514
17031470100,48,0.0025126728465791432
17031470100,49,3.572832933058958e-06
17031470100,50,1.6685279078358198e-05
17031470100,51,8.295839203223655e-05
17031480100,45,1.1622422132178506e-05
17031480100,48,0.9999883775778677
17031480200,45,3.312432106595117e-05
17031480200,47,1.1370860522339898e-05
17031480200,48,0.9999555048184117
17031480300,47,0.0030251632476714168
17031480300,48,0.996764959320993
17031480300,51,0.00020987743133557782
17031480400,48,0.9989025315106095
17031480400,51,0.0010974684893905538
17031805502,9,1.0
17031805600,9,1.0
17031650400,65,0.9918651352607152
17031650400,66,0.0060333914367560765
17031650400,70,0.0021014733025287026
17031650500,64,1.1343414976965935e-06
17031650500,65,0.9973645326017934
17031650500,70,0.002634333056708882
17031660400,63,5.208525964812548e-06
17031660400,65,5.231487909825272e-06
17031660400,66,0.9999895599861253
17031813400,25,1.0
17031821401,53,1.0
17031805702,76,1.0
17031821402,53,1.0
17031821600,70,0.9874888609350108
17031821600,72,0.01251113906498919
17031821700,74,1.0
17031290900,25,3.352704316635191e-08
17031290900,29,0.9999999664729569
17031291200,29,1.0
17031421200,42,0.9991857417795366
17031421200,69,0.000814258220463477
17031271500,27,0.9999707905334501
17031271500,29,2.920946654996564e-05
17031292200,29,1.0
17031292400,29,0.9993633533625582
17031292400,30,0.000636646637441839
17031292500,29,1.0
17031271800,27,0.9999509658949405
17031271800,29,4.9034105059440536e-05
17031280100,8,0.005382358620358861
17031280100,24,0.02266973129944534
17031280100,28,0.9719479100801959
17031280400,24,1.4384355228041113e-05
17031280400,28,0.999985615644772
17031300600,29,6.10628214529075e-06
17031300600,30,0.9999938937178547
17031300700,29,3.532834131198616e-05
17031300700,30,0.999964671658688
17031301100,30,1.0
17031301200,30,1.0
17031480500,45,1.456369065783002e-08
17031480500,46,2.5316919902269223e-05
17031480500,48,0.9999246116868993
17031480500,51,5.005682950775729e-05
17031490500,47,1.936356172951026e-07
17031490500,49,0.9999835193442767
17031490500,50,1.6287020106024686e-05
17031520200,51,0.00962539813360036
17031520200,52,0.9903746018663997
17031520300,51,0.001392881192196961
17031520300,52,0.9986071188078031
17031520400,52,1.0
17031520500,52,0.9946801719646022
17031520500,55,0.005319828035397832
17031520600,51,0.0036648691655770532
17031520600,52,0.9929399849480852
17031520600,55,0.0033951458863377155
17031660500,65,1.140204447261309e-07
17031660500,66,0.9999998859795552
17031660600,66,1.0
17031660700,66,0.9998743370491645
17031660700,67,0.0001256629508355105
17031660800,66,1.0
17031660900,65,0.0003417687397137283
17031660900,66,0.9996582312602863
17031661000,66,0.9873632021000639
17031661000,70,0.01248284037592683
17031661000,71,0.00015395752400930348
17031280900,28,1.0
17031301600,30,1.0
17031490600,49,1.0
17031490700,49,1.0
17031490800,49,0.9999701031296666
17031490800,50,2.9896870333321542e-05
17031491000,49,1.0
17031491100,49,0.9999816734065182
17031491100,73,6.38424550333213e-06
17031491100,75,1.1942347978407896e-05
17031530200,49,1.5363605978752588e-05
17031530200,53,0.9999846363940214
17031530300,53,0.9999803105996918
17031530300,75,1.9689400308190893e-05
17031530400,53,1.0
17031530600,53,0.9944430098532137
17031530600,54,0.005556990146786272
17031560100,30,0.0012848383454477034
17031560100,56,0.9944585940651577
17031560100,57,0.004256567589394611
17031670200,61,9.941940788833566e-06
17031670200,67,0.9999900580592112
17031670300,61,1.492807079135549e-05
17031670300,67,0.9999850719292086
17031670400,61,1.2307506285215304e-05
17031670400,67,0.9999876924937149
17031661100,66,0.9888941631335767
17031661100,70,0.011105836866423333
17031670100,61,1.3239051071517156e-05
17031670100,67,0.9999199030059429
