the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.68517922105977 41.854396837500744),740,Western-Douglas,Pink Line,2009 S. Western Avenue,True,False,1160828.02104042,1890198.73280923,Pink Line
POINT (-87.65849296173627 41.96913894081545),770,Lawrence,Red Line,1117 W. Lawrence Avenue,False,False,1167769.27416689,1932066.87544022,Red Line
POINT (-87.756692014772 41.851773309963825),580,54th/Cermak,Pink Line,2134 S. 54th Avenue,True,True,1141351.97852629,1889103.78010421,Pink Line
POINT (-87.65492939219291 41.95377494743192),80,Sheridan,Red Line,3940 N. Sheridan Road,False,False,1168782.69906383,1926475.82647501,Red Line
POINT (-87.6590758588342 41.990259494019185),880,Thorndale,Red Line,1118 W. Thorndale Avenue,False,False,1167550.17426268,1939762.06751139,Red Line
POINT (-87.70884379252877 41.966092607037865),1180,Kedzie-Ravenswood,Brown Line,4648 N. Kedzie Avenue,True,False,1154084.66231414,1930852.94827109,Brown Line
POINT (-87.63173383435944 41.87685533507961),160,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",121 W. Van Buren Street,False,False,1175321.45695792,1898497.01044895,Multiple Lines
POINT (-87.80696087265021 41.873490051902145),980,Harlem-Congress,Blue Line (Congress),701 S. Harlem Avenue,False,False,1127608.00923349,1896929.33249549,Blue Line
POINT (-87.6528658377562 41.9250513685894),1220,Fullerton,"Red, Brown, Purple (Express)",943  W. Fullerton Avenue,True,False,1169427.09509643,1916013.32534527,Multiple Lines
POINT (-87.68843451104553 41.87552957397782),220,Western-Congress,Blue Line (Congress),430 S. Western Avenue,False,False,1159883.32292754,1897892.77774439,Blue Line
POINT (-87.67863488433056 41.96641097276443),90,Damen-Ravenswood,Brown Line,4643 N. Damen Avenue,True,False,1162299.35492979,1931030.29073525,Brown Line
POINT (-87.63141229300709 41.90392031283341),630,Clark/Division,Red Line,1200 N. Clark Street,True,False,1175328.34617393,1908360.20047414,Red Line
POINT (-87.6638448484402 41.77895340563769),290,Ashland/63rd,Green Line (Englewood),6315 S. Ashland Avenue,True,True,1166854.40799004,1862752.12183966,Green Line
POINT (-87.63594665706665 41.89677417178116),710,Chicago/Franklin,"Brown, Purple (Express)",300 W. Chicago Avenue,True,False,1174115.1544928,1905746.07592771,Multiple Lines
POINT (-87.62580935004172 41.76836786586706),990,69th,Red Line,15 W. 69th Street,True,False,1177260.46342373,1858977.89284415,Red Line
POINT (-87.62740238294732 41.86736766601225),1400,Roosevelt/State,Red Line,1167 S. State Street,True,False,1176529.51123105,1895049.38830174,Red Line
POINT (-87.6659090897442 42.00836181944307),100,Morse,Red Line,1358 W. Morse Avenue,False,False,1165641.09906091,1946344.11935752,Red Line
POINT (-87.62769645951258 41.88074455879221),1090,Monroe/State,Red Line,26 S. State,False,False,1176409.33715094,1899923.25429028,Red Line
POINT (-87.62640238492894 41.85311508341227),1690,Cermak-McCormick Place,Green Line,12 E. Cermak Rd.,True,False,1176844.65337534,1889858.01703291,Green Line
POINT (-87.6873643813982 41.916157429131374),670,Western/Milwaukee,Blue Line (O'Hare),1909 N. Western Avenue,True,False,1160063.30014371,1912699.74915018,Blue Line
