service_date,bus,rail_boardings,total_rides
2024-07-13T00:00:00.000,424138,300881,725019
2024-07-14T00:00:00.000,303034,217483,520517
2024-07-15T00:00:00.000,514909,360359,875268
2024-07-16T00:00:00.000,565584,408295,973879
2024-07-17T00:00:00.000,579034,417491,996525
2024-07-18T00:00:00.000,563700,423510,987210
2024-07-19T00:00:00.000,536479,407254,943733
2024-07-20T00:00:00.000,415213,336971,752184
2024-07-21T00:00:00.000,336062,262703,598765
2024-07-22T00:00:00.000,536657,384948,921605
2024-07-23T00:00:00.000,563934,431681,995615
2024-07-24T00:00:00.000,574946,434300,1009246
2024-07-25T00:00:00.000,571492,427841,999333
2024-07-26T00:00:00.000,543502,393133,936635
2024-07-27T00:00:00.000,426551,328573,755124
2024-07-28T00:00:00.000,305854,225835,531689
2024-07-29T00:00:00.000,499487,347579,847066
2024-07-30T00:00:00.000,564465,418450,982915
2024-07-31T00:00:00.000,553120,451191,1004311
2024-08-01T00:00:00.000,554928,506493,1061421
2024-08-02T00:00:00.000,540073,474521,1014594
2024-08-03T00:00:00.000,424966,401995,826961
2024-08-04T00:00:00.000,330850,304125,634975
2024-08-05T00:00:00.000,501014,373023,874037
2024-08-06T00:00:00.000,536195,418245,954440
2024-08-07T00:00:00.000,572289,435129,1007418
2024-08-08T00:00:00.000,555177,415675,970852
2024-08-09T00:00:00.000,534634,407471,942105
2024-08-10T00:00:00.000,429880,355517,785397
2024-08-11T00:00:00.000,335905,277892,613797
2024-08-12T00:00:00.000,511004,367635,878639
2024-08-13T00:00:00.000,561949,432482,994431
2024-08-14T00:00:00.000,566338,414324,980662
2024-08-15T00:00:00.000,519903,391361,911264
2024-08-16T00:00:00.000,526888,392699,919587
2024-08-17T00:00:00.000,388616,312275,700891
2024-08-18T00:00:00.000,319383,253295,572678
2024-08-19T00:00:00.000,498548,335708,834256
2024-08-20T00:00:00.000,521241,361335,882576
2024-08-21T00:00:00.000,528372,364450,892822
2024-08-22T00:00:00.000,529364,377301,906665
2024-08-23T00:00:00.000,519640,368235,887875
2024-08-24T00:00:00.000,404561,296195,700756
2024-08-25T00:00:00.000,325668,239814,565482
2024-08-26T00:00:00.000,596306,376308,972614
2024-08-27T00:00:00.000,583649,409119,992768
